10-07-1988,2000.0001,4000.0001,1000.0001,3000.0001,10000,20000
10-08-1988,2001.0002,4001.0002,1001.0002,3001.0002,10001,20001
10-09-1988,2002.0003,4002.0003,1002.0003,3002.0003,10002,20002
10-10-1988,2003.0004,4003.0004,1003.0004,3003.0004,10003,20003
10-26-1988,2019.0020,4019.0020,1019.0020,3019.0020,10019,20019
10-27-1988,2020.0021,4020.0021,1020.0021,3020.0021,10020,20020
10-28-1988,2021.0022,4021.0022,1021.0022,3021.0022,10021,20021
11-08-1988,2032.0033,4032.0033,1032.0033,3032.0033,10032,20032
11-09-1988,2033.0034,4033.0034,1033.0034,3033.0034,10033,20033
11-15-1988,2039.0040,4039.0040,1039.0040,3039.0040,10039,20039
11-17-1988,2041.0042,4041.0042,1041.0042,3041.0042,10041,20041
11-19-1988,2043.0044,4043.0044,1043.0044,3043.0044,10043,20043
11-22-1988,2046.0047,4046.0047,1046.0047,3046.0047,10046,20046
11-28-1988,2052.0053,4052.0053,1052.0053,3052.0053,10052,20052
12-04-1988,2058.0059,4058.0059,1058.0059,3058.0059,10058,20058
12-11-1988,2065.0066,4065.0066,1065.0066,3065.0066,10065,20065
12-15-1988,2069.0070,4069.0070,1069.0070,3069.0070,10069,20069
12-16-1988,2070.0071,4070.0071,1070.0071,3070.0071,10070,20070
12-23-1988,2077.0078,4077.0078,1077.0078,3077.0078,10077,20077
12-31-1988,2085.0086,4085.0086,1085.0086,3085.0086,10085,20085
01-01-1989,2086.0087,4086.0087,1086.0087,3086.0087,10086,20086
01-02-1989,2087.0088,4087.0088,1087.0088,3087.0088,10087,20087
01-18-1989,2103.0104,4103.0104,1103.0104,3103.0104,10103,20103
01-19-1989,2104.0105,4104.0105,1104.0105,3104.0105,10104,20104
01-20-1989,2105.0106,4105.0106,1105.0106,3105.0106,10105,20105
01-31-1989,2116.0117,4116.0117,1116.0117,3116.0117,10116,20116
02-01-1989,2117.0118,4117.0118,1117.0118,3117.0118,10117,20117
02-07-1989,2123.0124,4123.0124,1123.0124,3123.0124,10123,20123
02-09-1989,2125.0126,4125.0126,1125.0126,3125.0126,10125,20125
02-11-1989,2127.0128,4127.0128,1127.0128,3127.0128,10127,20127
02-14-1989,2130.0131,4130.0131,1130.0131,3130.0131,10130,20130
02-20-1989,2136.0137,4136.0137,1136.0137,3136.0137,10136,20136
02-26-1989,2142.0143,4142.0143,1142.0143,3142.0143,10142,20142
03-05-1989,2149.0150,4149.0150,1149.0150,3149.0150,10149,20149
03-09-1989,2153.0154,4153.0154,1153.0154,3153.0154,10153,20153
