3/31/1999,1040,9914.37,9990.13,9913.26,9987.63
3/31/1999,1050,9988.74,10002.06,9987.08,9988.74
3/31/1999,1100,9988.19,9988.74,9954.33,9956.55
3/31/1999,1110,9956.55,9962.66,9948.5,9949.34
3/31/1999,1120,9948.78,9949.61,9919.37,9919.92
3/31/1999,1130,9919.92,9925.75,9904.1,9925.75
3/31/1999,1140,9926.58,9935.74,9925.19,9929.36
3/31/1999,1150,9929.36,9929.36,9889.67,9889.95
3/31/1999,1200,9890.23,9893,9884.96,9892.17
3/31/1999,1210,9892.45,9901.88,9888.01,9888.29
3/31/1999,1220,9889.12,9910.49,9888.29,9909.65
3/31/1999,1230,9909.93,9911.6,9893.56,9896.33
3/31/1999,1240,9896.61,9902.16,9884.12,9889.67
3/31/1999,1250,9889.67,9899.11,9889.4,9896.33
3/31/1999,1300,9896.61,9904.1,9889.67,9902.72
3/31/1999,1310,9902.72,9904.38,9899.11,9899.94
3/31/1999,1320,9899.66,9901.88,9893.84,9896.06
3/31/1999,1330,9895.78,9901.61,9895.22,9900.77
3/31/1999,1340,9900.5,9900.5,9890.51,9895.5
3/31/1999,1350,9895.22,9912.43,9895.22,9910.49
3/31/1999,1400,9909.93,9912.15,9904.38,9910.49
3/31/1999,1410,9910.49,9923.53,9910.49,9919.92
3/31/1999,1420,9919.64,9919.92,9904.1,9904.66
3/31/1999,1430,9904.38,9906.05,9902.99,9904.66
3/31/1999,1440,9904.66,9906.05,9896.89,9901.61
3/31/1999,1450,9901.61,9914.37,9901.61,9914.37
3/31/1999,1500,9914.65,9917.42,9911.04,9913.82
3/31/1999,1510,9913.82,9913.82,9907.71,9909.1
3/31/1999,1520,9909.1,9911.87,9904.66,9910.76
3/31/1999,1530,9910.49,9921.59,9909.65,9914.65
3/31/1999,1540,9914.65,9914.65,9893,9896.06
3/31/1999,1550,9896.06,9896.33,9875.8,9882.46
3/31/1999,1600,9883.57,9887.73,9872.19,9876.08
