Date,"Time","Open","High","Low","Close","Volume"
030520,0045,921.500000,922.000000,921.500000,922.000000,12
030520,0050,922.250000,922.250000,921.750000,921.750000,12
030520,0055,921.750000,922.250000,921.750000,922.000000,46
030520,0105,922.250000,922.250000,922.000000,922.000000,16
030520,0110,922.250000,922.250000,922.000000,922.000000,12
030520,0115,922.250000,922.500000,922.000000,922.250000,8
030520,0120,922.000000,922.000000,922.000000,922.000000,4
030520,0125,922.000000,922.000000,922.000000,922.000000,2
030520,0130,922.000000,922.000000,922.000000,922.000000,47
030520,0135,922.000000,922.000000,922.000000,922.000000,1
030520,0140,921.750000,921.750000,921.500000,921.500000,26
030520,0145,921.500000,921.500000,921.500000,921.500000,1
030520,0150,921.500000,921.500000,921.250000,921.250000,32
030520,0200,921.500000,921.750000,921.500000,921.500000,47
030520,0205,922.000000,922.500000,921.750000,922.500000,43
030520,0210,922.500000,922.500000,922.500000,922.500000,28
030520,0215,922.500000,922.750000,922.500000,922.750000,14
030520,0220,922.500000,922.500000,921.750000,922.250000,47
030520,0225,922.250000,922.250000,922.250000,922.250000,17
030520,0230,922.250000,922.500000,922.250000,922.500000,31
030520,0235,922.500000,922.750000,922.500000,922.750000,37
030520,0240,923.000000,923.000000,922.750000,922.750000,91
030520,0245,922.750000,923.250000,922.750000,923.250000,81
030520,0250,923.000000,923.750000,923.000000,923.500000,225
030520,0255,923.500000,923.750000,923.500000,923.750000,67
030520,0300,923.750000,923.750000,923.500000,923.750000,83
030520,0305,923.750000,924.000000,923.500000,923.750000,147
030520,0310,924.000000,924.000000,923.000000,923.250000,128
030520,0315,923.500000,924.250000,923.500000,924.250000,227
030520,0320,924.250000,924.250000,923.750000,924.000000,467
030520,0325,924.250000,924.500000,923.750000,923.750000,190
030520,0330,923.750000,924.000000,923.500000,924.000000,250
030520,0335,923.750000,923.750000,923.500000,923.750000,31
030520,0340,923.750000,923.750000,922.750000,922.750000,116
030520,0345,922.750000,923.000000,921.250000,921.250000,266
030520,0350,921.250000,921.500000,920.750000,920.750000,422
030520,0355,920.750000,921.500000,920.500000,921.500000,187
030520,0400,921.500000,922.250000,921.500000,922.250000,155
030520,0405,922.500000,923.750000,922.250000,923.500000,160
