0,TA_SUCCESS,No error
1,TA_LIB_NOT_INITIALIZE,TA_Initialize was not sucessfully called
2,TA_BAD_PARAM,A parameter is out of range
3,TA_ALLOC_ERR,Possibly out-of-memory
4,TA_ACCESS_FAILED,File system access failed
5,TA_NO_DATA_SOURCE,No data was added
6,TA_SYMBOL_NOT_FOUND,Symbol not found in this category
7,TA_CATEGORY_NOT_FOUND,Category not found in the data base
8,TA_KEY_NOT_FOUND,No Info
9,TA_INDEX_FILE_NOT_ACCESSIBLE,No Info
10,TA_INDEX_NOT_VALID,No Info
11,TA_INVALID_FIELD,No Info
12,TA_INVALID_PATH,No Info
13,TA_INTERNAL_ERR,No Info
14,TA_FATAL_ERR,No Info
15,TA_NO_NEW_DATA,No Info
16,TA_NOT_SUPPORTED,No Info
17,TA_END_OF_INDEX,No Info
18,TA_ENOUGH_DATA,No Info
19,TA_MISSING_FIELD,No Info
20,TA_REDUNDANT_FIELD,No Info
21,TA_INVALID_DATE,No Info
22,TA_INVALID_PRICE,No Info
23,TA_GROUP_NOT_FOUND,No Info
24,TA_FUNC_NOT_FOUND,No Info
25,TA_INVALID_HANDLE,No Info
26,TA_INVALID_PARAM_HOLDER,No Info
27,TA_INVALID_PARAM_HOLDER_TYPE,No Info
28,TA_INVALID_PARAM_FUNCTION,No Info
29,TA_INPUT_NOT_ALL_INITIALIZE,No Info
30,TA_OUTPUT_NOT_ALL_INITIALIZE,No Info
31,TA_OUT_OF_RANGE_START_INDEX,No Info
32,TA_OUT_OF_RANGE_END_INDEX,No Info
33,TA_BAD_OBJECT,No Info
34,TA_MEM_LEAK,No Info
35,TA_ADDR_NOT_FOUND,No Info
36,TA_SOCKET_LIB_INIT_ERR,No Info
37,TA_END_OF_STREAM,No Info
38,TA_BAD_STREAM_CRC,No Info
39,TA_UNSUPPORTED_STREAM_VERSION,No Info
40,TA_BAD_STREAM_HEADER_CRC,No Info
41,TA_BAD_STREAM_HEADER,No Info
42,TA_BAD_STREAM_CONTENT,No Info
43,TA_BAD_YAHOO_IDX_HDR,No Info
44,TA_UNSUPORTED_YAHOO_IDX_VERSION,No Info
45,TA_BAD_YAHOO_IDX_INDICATOR_AF,No Info
46,TA_BAD_YAHOO_IDX_INDICATOR_EB,No Info
47,TA_BAD_YAHOO_IDX_INDICATOR_F2,No Info
48,TA_NO_INTERNET_CONNECTION,No Info
49,TA_INTERNET_ACCESS_FAILED,No Info
50,TA_INTERNET_OPEN_FAILED,No Info
51,TA_INTERNET_NOT_OPEN_TRY_AGAIN,No Info
52,TA_INTERNET_SERVER_CONNECT_FAILED,No Info
53,TA_INTERNET_OPEN_REQUEST_FAILED,No Info
54,TA_INTERNET_SEND_REQUEST_FAILED,No Info
55,TA_INTERNET_READ_DATA_FAILED,No Info
56,TA_UNSUPPORTED_COUNTRY,No Info
57,TA_BAD_HTML_SYNTAX,No Info
58,TA_PERIOD_NOT_AVAILABLE,No Info
59,TA_FINISH_TABLE,No Info
60,TA_INVALID_SECURITY_EXCHANGE,No Info
61,TA_INVALID_SECURITY_SYMBOL,No Info
62,TA_INVALID_SECURITY_COUNTRY,No Info
63,TA_INVALID_SECURITY_TYPE,No Info
64,TA_MISSING_DATE_OR_TIME_FIELD,No Info
65,TA_OBJECT_NOT_EQUAL,No Info
